trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.5, 'e': 0.55989836656540204}",20,14,4.864463603251277,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,9,17.009537777254707,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,13,-2.789270983502292,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.54335086907449981}",25,-1,-1.4873427012932758,"{0: 22, 1: 2, 2: 1, 3: 1, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.53794443759467447}",30,-24,-20.5334844630374,"{0: 47, 1: 2, 2: 3, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.53259180100689718}",20,-9,-10.70132408352335,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.52729242404304855}",20,7,-5.9653794983922594,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.52204577676101604}",20,15,2.0942830086476323,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.51685133449169918}",25,-12,-23.300862356988887,"{0: 29, 1: 3, 2: 4, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.51170857778654244}",20,-6,-38.465166806822154,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.50661699236558955}",30,-8,-10.332175292307914,"{0: 32, 1: 2, 2: 3, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.50157606906605545}",35,17,-4.1063268971106055,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,12,8.595432841778768,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4916441974609651}",25,-5,-19.64170593057646,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.48675225595997168}",25,5,-6.3326558297405,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,-4,18.770866194305285,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.47711391552103438}",30,6,3.5605136434505593,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.47236655274101469}",20,-20,-82.50008712222932,"{0: 30, 1: 2, 2: 6, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,5,-37.07273776376969,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,9,-74.97765505242116,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
78,False,"{'a': 0.5, 'e': 0.45840601130522352}",25,-9,-97.05053095256991,"{0: 26, 1: 0, 2: 6, 3: 0, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.45384479528235583}",20,4,6.803194223241796,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,-8,-79.60764681579779,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.44485806622294111}",20,2,-21.93270902968101,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.44043165450599925}",30,9,-60.51174630491984,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 2}",1
83,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,-15,-49.657709958695435,"{0: 27, 1: 3, 2: 4, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,-43,-58.025123569434896,"{0: 59, 1: 2, 2: 3, 3: 2, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.42741493194872671}",20,3,-79.71781847951151,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
86,False,"{'a': 0.5, 'e': 0.42316208231774882}",20,2,5.59497299516774,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.418951549247639}",25,15,-9.575269258539448,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.41478291168158138}",20,-3,12.368426208912027,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.4106557527523455}",30,14,-22.42497680284259,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.40656965974059911}",25,14,22.23296342742068,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40252422403363597}",25,-1,-22.023699297285788,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,-9,-90.46737409259893,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 2}",0
93,False,"{'a': 0.5, 'e': 0.39455371037160109}",20,-12,-33.3230827379607,"{0: 24, 1: 2, 2: 5, 3: 1, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.39062783535852108}",25,6,-63.65841533518759,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.38674102345450118}",20,7,-33.65585133293184,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,1,2.764200773494106,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37908303810339883}",25,17,16.75252974711666,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37531109885139957}",25,18,2.3215129114041093,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
